scorer,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000
bodyparts,nose,nose,nose,head,head,head,soine1,soine1,soine1,spine2,spine2,spine2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,316.71734619140625,376.6383361816406,0.9999998807907104,321.448486328125,405.2169189453125,0.9999988079071045,332.69818115234375,429.3200988769531,1.0,349.32196044921875,468.7015380859375,1.0
1,315.7177734375,370.5216064453125,1.0,319.8909912109375,401.2027282714844,0.9999990463256836,330.3428649902344,424.93621826171875,0.9999998807907104,344.99273681640625,464.595703125,1.0
2,313.9662780761719,366.0760803222656,1.0,317.26727294921875,397.023681640625,0.9999946355819702,327.44415283203125,420.4320373535156,1.0,342.69091796875,460.1761474609375,1.0
3,313.4140930175781,359.2240905761719,0.9999998807907104,315.55841064453125,390.64569091796875,0.9999973773956299,325.1189880371094,415.1361389160156,1.0,341.9263916015625,454.80731201171875,1.0
4,312.9742736816406,351.61212158203125,0.9999998807907104,314.5164794921875,380.26910400390625,0.9999839067459106,322.4932861328125,407.04510498046875,0.9999998807907104,339.4781494140625,449.57586669921875,1.0
5,312.8364562988281,343.4681701660156,0.9999998807907104,313.3160095214844,371.6239013671875,0.9999889135360718,320.1275939941406,399.7491760253906,0.9999996423721313,334.0573425292969,442.484130859375,0.9999998807907104
6,312.96368408203125,335.0381164550781,0.9999998807907104,312.299560546875,361.54010009765625,0.9999828338623047,317.99676513671875,389.7849426269531,0.9999998807907104,330.51055908203125,435.08514404296875,1.0
7,313.6837463378906,326.6620178222656,1.0,312.7129821777344,351.0155334472656,0.9999911785125732,317.004638671875,380.4511413574219,0.9999997615814209,325.6051330566406,425.5877990722656,1.0
8,316.2225341796875,320.29754638671875,0.9999998807907104,314.6383972167969,342.3366394042969,0.9999963045120239,316.6185302734375,371.73980712890625,1.0,320.177001953125,418.88421630859375,0.9999998807907104
9,319.09564208984375,313.47052001953125,0.9999996423721313,316.1277770996094,335.7945251464844,0.9999905824661255,315.9979553222656,364.8268127441406,1.0,313.6582336425781,408.5273742675781,0.9999995231628418
10,323.49688720703125,306.7834167480469,1.0,319.54620361328125,326.63592529296875,0.9999914169311523,316.4428405761719,357.85101318359375,1.0,308.6297912597656,401.30059814453125,1.0
11,328.0073547363281,301.90435791015625,0.9999998807907104,323.9980163574219,319.5962829589844,0.999991774559021,315.71875,349.5768737792969,1.0,305.469482421875,392.34710693359375,0.9999998807907104
12,331.77093505859375,293.8666076660156,1.0,326.0696716308594,313.306396484375,0.9999836683273315,316.3768310546875,341.4525146484375,1.0,303.2466125488281,384.8502197265625,1.0
13,334.2711181640625,288.50897216796875,0.9999998807907104,328.839599609375,308.15234375,0.9999932050704956,317.1311950683594,334.20587158203125,0.9999998807907104,303.07891845703125,377.66998291015625,1.0
14,337.7906188964844,282.13519287109375,0.9999998807907104,332.5001220703125,301.02447509765625,0.9999953508377075,319.3351745605469,327.0416564941406,0.9999996423721313,303.60455322265625,371.47442626953125,1.0
15,341.1177062988281,274.83001708984375,1.0,334.9649658203125,294.8285827636719,0.9999809265136719,320.9420166015625,320.79595947265625,0.9999996423721313,304.8448181152344,364.5846252441406,1.0
16,344.7779846191406,269.0784606933594,0.9999998807907104,338.5168762207031,288.1776123046875,0.9999942779541016,324.4063415527344,313.12677001953125,0.9999992847442627,306.6766662597656,358.18951416015625,1.0
17,347.0881042480469,262.31146240234375,1.0,341.1414489746094,282.44677734375,0.999995231628418,326.49761962890625,306.4552307128906,0.9999998807907104,307.11163330078125,350.7664794921875,1.0
18,350.0881652832031,257.0035400390625,1.0,343.6744079589844,276.9513854980469,0.9999929666519165,329.3554992675781,299.91455078125,0.9999967813491821,308.58575439453125,343.4233093261719,1.0
19,352.9949645996094,251.72816467285156,1.0,347.4015197753906,271.70147705078125,0.9999943971633911,331.8922424316406,294.1787109375,0.9999992847442627,306.8291015625,335.9964904785156,1.0
20,356.7692565917969,246.22097778320312,1.0,350.26910400390625,266.5148010253906,0.9999935626983643,333.5308837890625,288.5115661621094,0.9999986886978149,307.20343017578125,329.0068054199219,1.0
21,359.89794921875,243.0368194580078,1.0,352.55120849609375,263.3915710449219,0.9999889135360718,336.0082092285156,285.59686279296875,0.9999960660934448,307.9892883300781,322.83245849609375,1.0
22,363.25372314453125,238.81260681152344,1.0,355.57220458984375,259.91552734375,0.9999967813491821,337.8130187988281,281.0937194824219,0.9999985694885254,308.4949035644531,317.9323425292969,1.0
23,365.69927978515625,234.5579833984375,1.0,357.8431396484375,254.64987182617188,0.9999934434890747,340.2767639160156,275.90087890625,0.9999998807907104,309.9839172363281,312.9038391113281,1.0
24,368.8619079589844,229.892333984375,1.0,359.68817138671875,250.90975952148438,0.9999818801879883,343.0826721191406,270.4555358886719,0.9999977350234985,313.4498291015625,309.94781494140625,1.0
25,371.1819763183594,225.7637939453125,1.0,363.245361328125,247.77975463867188,0.9999874830245972,345.8120422363281,268.76177978515625,0.9999957084655762,316.66900634765625,306.1961975097656,1.0
26,374.4085388183594,223.4503631591797,1.0,366.65386962890625,244.53036499023438,0.9999779462814331,348.8049011230469,265.4925231933594,0.9999991655349731,320.51092529296875,301.9381408691406,1.0
27,378.96856689453125,222.2510528564453,1.0,370.7507629394531,243.0699462890625,0.9999940395355225,351.6821594238281,262.5576477050781,0.9999998807907104,326.4609069824219,298.1749572753906,1.0
28,383.021484375,219.94235229492188,1.0,373.94805908203125,241.4996337890625,0.9999905824661255,354.0608215332031,260.00885009765625,1.0,330.8089599609375,295.371826171875,1.0
29,385.8527526855469,218.73899841308594,1.0,376.5289306640625,239.90185546875,0.9999556541442871,357.3780822753906,257.3463134765625,0.9999998807907104,334.17120361328125,291.5697937011719,1.0
30,386.7727355957031,218.63653564453125,1.0,378.16943359375,239.6780242919922,0.9999780654907227,360.8135681152344,256.6426696777344,0.9999997615814209,335.7174072265625,289.513916015625,1.0
31,387.9288635253906,218.23670959472656,1.0,379.77001953125,239.69761657714844,0.99998939037323,362.7345275878906,256.5194091796875,0.9999998807907104,336.5182800292969,286.2030029296875,1.0
32,388.7482604980469,218.685791015625,1.0,380.5968017578125,239.23268127441406,0.9999943971633911,363.7496337890625,256.2021484375,0.9999998807907104,336.5988464355469,285.3548278808594,1.0
33,390.7260437011719,220.29025268554688,1.0,381.9920349121094,240.215576171875,0.999994158744812,364.5973205566406,257.1431884765625,0.9999998807907104,335.9026794433594,284.63018798828125,1.0
34,392.8603515625,223.54957580566406,1.0,384.8018798828125,241.3497314453125,0.9999955892562866,365.033203125,257.9056091308594,0.9999998807907104,335.1831359863281,284.3544006347656,1.0
35,395.6062316894531,229.0358428955078,1.0,385.6505432128906,243.6944122314453,0.9999971389770508,365.0821838378906,259.10546875,1.0,333.6425476074219,284.0786437988281,1.0
36,398.378662109375,235.5484619140625,0.9999972581863403,385.8092041015625,248.58474731445312,0.9999903440475464,364.67626953125,260.6960754394531,1.0,332.6981201171875,283.4862365722656,1.0
37,399.5791931152344,241.75587463378906,0.9999991655349731,385.3779296875,251.6418914794922,0.9999948740005493,363.9846496582031,261.7921142578125,1.0,330.962890625,282.3319396972656,1.0
38,400.460205078125,250.63853454589844,0.9999531507492065,384.7184143066406,256.2442932128906,0.9998887777328491,362.5665283203125,263.88555908203125,0.9999998807907104,328.5654296875,281.18353271484375,1.0
39,401.596435546875,258.15380859375,0.9999687671661377,384.40167236328125,261.8459167480469,0.9993144273757935,361.78106689453125,266.2020263671875,0.9999997615814209,327.0287170410156,280.4150085449219,1.0
40,400.5390625,264.00146484375,0.9999152421951294,383.88861083984375,263.8580322265625,0.9995874762535095,361.2813720703125,267.822021484375,0.9999996423721313,326.02783203125,280.11376953125,1.0
41,400.41943359375,272.111328125,0.9999855756759644,382.5268249511719,266.7309875488281,0.9986648559570312,360.6099853515625,268.7459716796875,0.9999994039535522,324.8299865722656,279.9939270019531,1.0
42,398.4808654785156,278.1692199707031,0.9999927282333374,381.4176025390625,271.38885498046875,0.999299168586731,360.2998962402344,269.9156188964844,0.9999994039535522,323.8951110839844,279.173583984375,1.0
43,398.1785888671875,284.351318359375,0.9999836683273315,381.8621826171875,275.35882568359375,0.9998550415039062,360.5862731933594,269.4478759765625,0.9999995231628418,323.99151611328125,278.13824462890625,1.0
44,396.2381896972656,291.11553955078125,0.9999996423721313,381.7270812988281,277.9747009277344,0.9999853372573853,360.43524169921875,270.4116516113281,0.9999990463256836,323.96728515625,277.3602600097656,1.0
45,394.57159423828125,296.0947570800781,0.9999996423721313,380.5141906738281,281.09332275390625,0.9999974966049194,362.0392150878906,272.47039794921875,0.9999991655349731,324.4006652832031,275.966064453125,1.0
46,393.8488464355469,300.7837219238281,0.9999998807907104,380.2746276855469,283.6443786621094,0.9999986886978149,362.45172119140625,272.7615966796875,0.9999994039535522,324.9649963378906,274.38800048828125,1.0
47,393.56427001953125,304.4354553222656,0.9999998807907104,380.3749084472656,286.24530029296875,0.9999990463256836,363.4486999511719,273.5751037597656,0.9999996423721313,325.9046630859375,273.4759826660156,1.0
48,393.72705078125,308.2845153808594,1.0,381.1318664550781,288.8750915527344,0.9999995231628418,364.0370178222656,274.66143798828125,0.9999997615814209,326.0608825683594,272.39453125,1.0
